Patroling Sections:
[55.704741, -385.186179,0] -> [402.114902514, -185.186179,0] -> 
[55.704741, -485.186179,0] -> [488.717442892, -235.186179,0] -> 
[55.704741, -585.186179,0] -> [575.319983271, -285.186179,0] -> 
[55.704741, -685.186179,0] -> [661.922523649, -335.186179,0] -> 
[55.704741, -785.186179,0] -> [748.525064028, -385.186179,0] -> 
[55.704741, -885.186179,0] -> [835.127604406, -435.186179,0] -> 
[55.704741, -985.186179,0] -> [921.730144784, -485.186179,0] -> 
[921.730144784, -485.186179,0] -> [55.704741, -985.186179,0] -> 
[835.127604406, -435.186179,0] -> [55.704741, -885.186179,0] -> 
[748.525064028, -385.186179,0] -> [55.704741, -785.186179,0] -> 
[661.922523649, -335.186179,0] -> [55.704741, -685.186179,0] -> 
[575.319983271, -285.186179,0] -> [55.704741, -585.186179,0] -> 
[488.717442892, -235.186179,0] -> [55.704741, -485.186179,0] -> 
[402.114902514, -185.186179,0] -> [55.704741, -385.186179,0] -> 
 End 

0: 402.114902514, -185.186179, 0 {210, 0} -> 55.704741, -385.186179, 0
67: 223.553331542387, -333.096215263211, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
68: 210.785262591702, -344.665541746225, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
69: 198.017193641017, -356.234868229238, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
70: 185.249124690332, -367.804194712251, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
71: 172.481055739647, -379.373521195264, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
72: 159.712986788962, -390.942847678278, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
73: 146.944917838277, -402.512174161291, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
74: 134.176848887592, -414.081500644304, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
75: 121.408779936907, -425.650827127317, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
76: 108.640710986222, -437.220153610331, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
77: 95.872642035537, -448.789480093344, 0.000000000000 {222.180165732018, 222.180165732018} -> 55.704740999999, -485.186179000000, 0.000000000000
78: 95.872642035537, -448.789480093344, 0.000000000000 {222.180165732019, 222.180165732019} -> 55.704740999999, -485.186179000000, 0.000000000000
79: 93.712518936799, -450.746797951613, 0.000000000000 {222.180165732019, 222.180165732019} -> 55.704740999999, -485.186179000000, 0.000000000000
80: 87.232149640587, -456.618751526422, 0.000000000000 {222.180165732019, 222.180165732019} -> 55.704740999999, -485.186179000000, 0.000000000000
81: 87.232149640587, -456.618751526422, 0.000000000000 {259.305714732019, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
82: 87.232149640587, -456.618751526422, 0.000000000000 {296.431263732019, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
83: 87.232149640587, -456.618751526422, 0.000000000000 {333.556812732019, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
84: 87.232149640587, -456.618751526422, 0.000000000000 {10.682361732019, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
85: 89.784664427156, -455.210954217026, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
86: 97.442208786865, -450.987562288837, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
87: 112.529628948990, -442.666345259369, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
88: 127.617049111115, -434.345128229901, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
89: 142.704469273240, -426.023911200433, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
90: 157.791889435365, -417.702694170966, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
91: 172.879309597490, -409.381477141498, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
92: 187.966729759615, -401.060260112030, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
93: 203.054149921740, -392.739043082562, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
94: 218.141570083865, -384.417826053095, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
95: 233.228990245990, -376.096609023627, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
96: 248.316410408115, -367.775391994159, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
97: 263.403830570240, -359.454174964692, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
98: 278.491250732365, -351.132957935224, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
99: 293.578670894490, -342.811740905756, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
100: 308.666091056615, -334.490523876288, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
101: 323.753511218740, -326.169306846821, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
102: 338.840931380865, -317.848089817353, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
103: 353.928351542990, -309.526872787885, 0.000000000000 {28.878205515108, 28.878205515108} -> 488.717442892218, -235.186179000002, 0.000000000000
