Patroling Sections:
[55.704741, -385.186179,0] -> [455.704741, 14.813821,0] -> 
[55.704741, -485.186179,0] -> [555.704741, 14.813821,0] -> 
[55.704741, -585.186179,0] -> [655.704741, 14.813821,0] -> 
[55.704741, -685.186179,0] -> [755.704741, 14.813821,0] -> 
[55.704741, -785.186179,0] -> [855.704741, 14.813821,0] -> 
[55.704741, -885.186179,0] -> [955.704741, 14.813821,0] -> 
[55.704741, -985.186179,0] -> [1055.704741, 14.813821,0] -> 
[1055.704741, 14.813821,0] -> [55.704741, -985.186179,0] -> 
[955.704741, 14.813821,0] -> [55.704741, -885.186179,0] -> 
[855.704741, 14.813821,0] -> [55.704741, -785.186179,0] -> 
[755.704741, 14.813821,0] -> [55.704741, -685.186179,0] -> 
[655.704741, 14.813821,0] -> [55.704741, -585.186179,0] -> 
[555.704741, 14.813821,0] -> [55.704741, -485.186179,0] -> 
[455.704741, 14.813821,0] -> [55.704741, -385.186179,0] -> 
 End 

0: 455.704741, 14.813821, 0 {225, 0} -> 55.704741, -385.186179, 0
61: 254.462151074308, -186.428768925690, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
62: 264.524280570593, -176.366639429406, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
63: 274.586410066877, -166.304509933121, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
64: 284.648539563162, -156.242380436837, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
65: 294.710669059446, -146.180250940552, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
66: 304.772798555731, -136.118121444268, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
67: 314.834928052016, -126.055991947983, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
68: 324.897057548300, -115.993862451698, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
69: 334.959187044585, -105.931732955414, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
70: 345.021316540869, -95.869603459129, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
